Price,Close,High,Low,Open,Volume
Ticker,KCHOL.IS,KCHOL.IS,KCHOL.IS,KCHOL.IS,KCHOL.IS
Date,,,,,
2015-07-01,9.486681938171387,9.601904499134125,9.486681938171387,9.563496734624154,1090805
2015-07-02,9.333050727844238,9.48668178337733,9.333050727844238,9.37145849172751,1504221
2015-07-03,9.371459007263184,9.409866773259315,9.256236441841992,9.256236441841992,698545
2015-07-06,9.409865379333496,9.448273139640113,9.371457619026879,9.409865379333496,1036554
2015-07-07,9.294644355773926,9.409866923029028,9.294644355773926,9.409866923029028,964569
2015-07-08,9.141011238098145,9.217826754075595,9.102604212676471,9.17941899608687,1743366
2015-07-09,9.448273658752441,9.448273658752441,9.333050371501926,9.333050371501926,1865389
2015-07-10,9.486681938171387,9.640312263644098,9.486681938171387,9.525088970114181,1944327
2015-07-13,9.563496589660645,9.563496589660645,9.486681794372236,9.563496589660645,1070024
2015-07-14,9.601903915405273,9.678719439755367,9.563496153230226,9.678719439755367,2514590
2015-07-15,9.448273658752441,9.601903975852656,9.448273658752441,9.563496213435819,1759644
2015-07-16,9.601903915405273,9.678719439755367,9.448273599272214,9.486681361447262,1664680
2015-07-17,9.601903915405273,9.601903915405273,9.601903915405273,9.601903915405273,0
2015-07-20,9.525089263916016,9.563497029610676,9.448274465093892,9.486682230788555,1358300
2015-07-21,9.563496589660645,9.60190435358843,9.448274030444448,9.525088825732857,2130276
2015-07-22,9.640312194824219,9.678719959060006,9.44827410621245,9.44827410621245,2437000
2015-07-23,9.371459007263184,9.640312636668904,9.294644207838125,9.60190487067277,4558027
2015-07-24,9.371459007263184,9.409866773259315,9.21782867584586,9.256236441841992,2365561
2015-07-27,9.17941951751709,9.29464279802844,9.14101175734664,9.256235037857989,2582821
2015-07-28,9.217827796936035,9.371458113704875,9.217827796936035,9.294643321604024,1987512
2015-07-29,9.217827796936035,9.294643321604024,9.10260524250119,9.141012272268048,2764998
2015-07-30,9.217827796936035,9.294643321604024,9.217827796936035,9.25623555927003,850823
2015-07-31,9.448273658752441,9.52508845101898,9.294643341652225,9.333050371501926,4052346
2015-08-03,9.217827796936035,9.333050351370883,9.179420034602042,9.294643321604024,2005241
2015-08-04,9.256237030029297,9.256237030029297,9.141013724719038,9.217829261592543,1427102
2015-08-05,9.17941951751709,9.256235037857989,9.14101175734664,9.21782727768754,2184462
2015-08-06,9.17941951751709,9.256235037857989,9.14101175734664,9.17941951751709,1563334
2015-08-07,9.141011238098145,9.17941899608687,9.064196454687746,9.141011238098145,1151912
2015-08-10,9.141011238098145,9.217826754075595,9.064196454687746,9.102604212676471,1780915
2015-08-11,9.448273658752441,9.48668142116928,9.333050371501926,9.371458133918765,2733453
2015-08-12,9.141011238098145,9.40986481145217,9.141011238098145,9.33304929547472,2433406
2015-08-13,9.17941951751709,9.17941951751709,8.872158901287676,9.064196969572832,2508193
2015-08-14,9.217827796936035,9.294643321604024,9.141012272268048,9.141012272268048,1816900
2015-08-17,9.02579116821289,9.179421509669021,8.948975631201199,9.02579116821289,2795321
2015-08-18,8.910567283630371,9.025789839619938,8.910567283630371,9.025789839619938,1779475
2015-08-19,8.795344352722168,8.91056764596425,8.75693658830814,8.833752117136195,2665741
2015-08-20,8.71852970123291,8.71852970123291,8.488083843489358,8.526491608541146,2945024
2015-08-21,8.526491165161133,8.603305958703134,8.449675639051982,8.526491165161133,1689872
2015-08-24,8.372859954833984,8.372859954833984,7.98878379667523,8.296045162742514,1794828
